department,tender_id,name_of_work,location,closing_date
MTN/CENTRAL RLY,85251772,DENSIFIED THERMAL BONDED POLYSTER BLOCKS FOR GS-SLR COACHES,Goods & Service,16/08/2025
SPJ/EAST CENTRAL RLY,70251268A,Paint enamel synthetic interior finishing smoke grey to ISC : 692 of IS:5/2007 to IS: 133/2023 along with additional sti......,Goods & Service,16/08/2025
STORES/TKJ/RCF,05251456,HOUSING FOR ALARM PULL HANDLE,Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255759A,ANTI WEAR HYDRAULIC OIL TO IS:11656/1992 [ANTI WEAR HYDRAULIC OIL TO IS:11656/1992 (Gr.VG 68). ACCEPTED BRANDS ONLY (1) ......,Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255847,"FUEL TANK FOR DETC COACHES TO DRG. No. D [FUEL TANK FOR DETC COACHES TO DRG. No. DMU/DPC- 9-0-303, ALT- n, COL-X.]",Goods & Service,16/08/2025
TRS/GMO/EAST CENTRAL RLY,30255152,"Supply of DC-DC Converter 5V 1W. Part No [Supply of DC-DC Converter 5V 1W. Part No. - IV505SA, Make- XP Power or similar......",Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256458,Supply of anti-skid flooring tiles,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85255370B,(For Vande Bharat) Loctite Silicon,Goods & Service,16/08/2025
SPJ/EAST CENTRAL RLY,70251308,"Berth reading light fitting for transverse lower (LHS) as per RCF drg. No. LW76020, Alt.f for latest",Goods & Service,16/08/2025
MTN/CENTRAL RLY,85255011E,Periodic Overhauling kit (VPOH),Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255849,"Motwanes Digital Micro Ohm Meter, Produc [Motwanes Digital Micro Ohm Meter, Product No. LR2045-S or exact equivalent wit......",Goods & Service,16/08/2025
CRW/MCS/ECOR,92251266,"Ball Valve - 1/2 Inch, to Drawing/Specification LW 63106, Alt. No. NIL, ITEM No - 3",Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256648,R3 Entry Door Latch for Vande Bharat,Goods & Service,16/08/2025
SPJ/EAST CENTRAL RLY,70251236C,"Rubber based adhesive dendrite to ICF Specn No. ICF/M/D/Specn.-028, Rev.4",Goods & Service,16/08/2025
GSD/NBQ/N F RLY,NB255642,Supply of Chain assembly and pin bracket for middle berth of LHB AC and Non AC coaches as per Annexure,Goods & Service,16/08/2025
TRS/GMO/EAST CENTRAL RLY,30245387,"Supply of QFBR 2478 RX for repairing of [Supply of QFBR 2478 RX for repairing of PCB of 3-phase locomotive. Make: AVAGO,......",Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255814,"32 Amps Air break power contactor with A [32 Amps Air break power contactor with Auxiliary contacts 2NO+2NC, AC- 3 duty,......",Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,24250710,3/2 way direct acting normally closed sub base mounted solenoid Valve,Goods & Service,16/08/2025
DLS/KALYAN/CENTRAL RLY,66255200A,Rivet Round Head Aluminium,Goods & Service,16/08/2025
STORES/CENTRAL RLY,90250749,Corrosion Resistance Steel HR Plates 5 x 1250 x 5000,Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,24251782,"HOSE COUPLING 1""(MREP) LH AS PER CLW's SPEC. No.CLW/MS/3/001 (ALT-18) FOR MAKING MU(MR PIPE) OF THREE PHASE LOCO.",Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,24250644,Modified Brake Hanger Assly. Lever (LH),Goods & Service,16/08/2025
DLS/KALYAN/CENTRAL RLY,66255188A,"Cleaner, rust remover",Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,24251783,"HOSE COUPLING 1"" (DBR) RH AS PER CLW's SPEC. No. CLW/MS/3/001 (ALT-18) FOR MAKING MU (BRAKE PIPE) OF THREE PHASE
LOCO.",Goods & Service,16/08/2025
GKPD/NORTH EASTERN RLY,10248365A,Tail Lamp Bracket,Goods & Service,16/08/2025
MTN/CENTRAL RLY,85256414,Flouro polymer paint (Intermediate,Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,32250677,KIT FOR BRAKE RIGGING (CONSISTING OF 21 ITEMS)  BLW  PT.No.17021182 & EMD PT. No. K-1702009,Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,24251706,4 INCH DUPLEX AIR PRESSURE GUAGE (FLUSH MOUNTED),Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,32251146,GEAR WHEEL 91 TEETH FOR TSRB FOR 1400 HP DEMU/DPC AS PER RDSO SPEC. NO. C - K 303 REV. 0.0 JUNE - 2003 AND BHEL DRG. NO.......,Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,24250117,"""EE"" type VAA-11 Aux. relay",Goods & Service,16/08/2025
STORES/NORTH EASTERN RLY,32251158A,Tapered Roller Bearing with Bearing No.67982/67919 for 1400HP DEMU. Technical requirement confirming to RDSO Specificati......,Goods & Service,16/08/2025
DLS/KALYAN/CENTRAL RLY,66251033,Gasket Seal Plate Water Pump,Goods & Service,16/08/2025
STORES/PAREL/CENTRAL RLY,48255523A,SET OF CATRIDGE TAPER ROLLER BEARINGS,Goods & Service,16/08/2025
